Format Version,1.22,Take Name,Take 2019-12-08 05.03.55 PM Pose 1,Capture Frame Rate,120.000000,Export Frame Rate,60.000000,Capture Start Time,2019-12-08 05.03.56.368 PM,Total Frames in Take,912,Total Exported Frames,457,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,cf,cf,cf,cf,cf,cf,cf,cf,"cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker1","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker2","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker3","cf:Marker4","cf:Marker4","cf:Marker4","cf:Marker4","cf:Marker5","cf:Marker5","cf:Marker5","cf:Marker5",tb,tb,tb,tb,tb,tb,tb,tb,"tb:Marker1","tb:Marker1","tb:Marker1","tb:Marker1","tb:Marker2","tb:Marker2","tb:Marker2","tb:Marker2","tb:Marker3","tb:Marker3","tb:Marker3","tb:Marker3","tb:Marker4","tb:Marker4","tb:Marker4","tb:Marker4",capo,capo,capo,capo,capo,capo,capo,capo,"capo:Marker1","capo:Marker1","capo:Marker1","capo:Marker1","capo:Marker2","capo:Marker2","capo:Marker2","capo:Marker2","capo:Marker3","capo:Marker3","capo:Marker3","capo:Marker3","capo:Marker4","capo:Marker4","capo:Marker4","capo:Marker4","capo:Marker5","capo:Marker5","capo:Marker5","capo:Marker5",caps,caps,caps,caps,caps,caps,caps,caps,"caps:Marker1","caps:Marker1","caps:Marker1","caps:Marker1","caps:Marker2","caps:Marker2","caps:Marker2","caps:Marker2","caps:Marker3","caps:Marker3","caps:Marker3","caps:Marker3","caps:Marker4","caps:Marker4","caps:Marker4","caps:Marker4","caps:Marker5","caps:Marker5","caps:Marker5","caps:Marker5","caps:Marker6","caps:Marker6","caps:Marker6","caps:Marker6",tb:Marker1,tb:Marker1,tb:Marker1,capo:Marker1,capo:Marker1,capo:Marker1,tb:Marker2,tb:Marker2,tb:Marker2,capo:Marker2,capo:Marker2,capo:Marker2,cf:Marker2,cf:Marker2,cf:Marker2,tb:Marker3,tb:Marker3,tb:Marker3,cf:Marker3,cf:Marker3,cf:Marker3,capo:Marker4,capo:Marker4,capo:Marker4,caps:Marker4,caps:Marker4,caps:Marker4,cf:Marker4,cf:Marker4,cf:Marker4,capo:Marker5,capo:Marker5,capo:Marker5,caps:Marker5,caps:Marker5,caps:Marker5,cf:Marker5,cf:Marker5,cf:Marker5,caps:Marker6,caps:Marker6,caps:Marker6,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1058,Unlabeled 1058,Unlabeled 1058,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062,Unlabeled 1085,Unlabeled 1085,Unlabeled 1085,Unlabeled 1087,Unlabeled 1087,Unlabeled 1087,Unlabeled 1107,Unlabeled 1107,Unlabeled 1107,Unlabeled 1109,Unlabeled 1109,Unlabeled 1109,Unlabeled 1111,Unlabeled 1111,Unlabeled 1111,Unlabeled 1114,Unlabeled 1114,Unlabeled 1114,Unlabeled 1117,Unlabeled 1117,Unlabeled 1117,Unlabeled 1119,Unlabeled 1119,Unlabeled 1119,Unlabeled 1128,Unlabeled 1128,Unlabeled 1128,Unlabeled 1130,Unlabeled 1130,Unlabeled 1130,Unlabeled 1139,Unlabeled 1139,Unlabeled 1139,Unlabeled 1143,Unlabeled 1143,Unlabeled 1143,Unlabeled 1147,Unlabeled 1147,Unlabeled 1147,Unlabeled 1148,Unlabeled 1148,Unlabeled 1148,Unlabeled 1149,Unlabeled 1149,Unlabeled 1149,Unlabeled 1150,Unlabeled 1150,Unlabeled 1150,Unlabeled 1151,Unlabeled 1151,Unlabeled 1151,Unlabeled 1155,Unlabeled 1155,Unlabeled 1155,Unlabeled 1200,Unlabeled 1200,Unlabeled 1200,Unlabeled 1341,Unlabeled 1341,Unlabeled 1341,Unlabeled 1353,Unlabeled 1353,Unlabeled 1353,Unlabeled 1390,Unlabeled 1390,Unlabeled 1390
,,"A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","A3CC43FA1A0211EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","BF0598721A0E11EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","DD8BD6141A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","FF0E6CCB1A1911EA345CE7B9724C3D9D","C3570","C3570","C3570","C37E0","C37E0","C37E0","C3540","C3540","C3540","C3800","C3800","C3800","C5D478D31A1F11EA345CE7B9724C3D9D","C5D478D31A1F11EA345CE7B9724C3D9D","C5D478D31A1F11EA345CE7B9724C3D9D","C3550","C3550","C3550","C5D478D41A1F11EA345CE7B9724C3D9D","C5D478D41A1F11EA345CE7B9724C3D9D","C5D478D41A1F11EA345CE7B9724C3D9D","C3760","C3760","C3760","C3A90","C3A90","C3A90","C5D478D51A1F11EA345CE7B9724C3D9D","C5D478D51A1F11EA345CE7B9724C3D9D","C5D478D51A1F11EA345CE7B9724C3D9D","C3810","C3810","C3810","C38E0","C38E0","C38E0","C5D478D71A1F11EA345CE7B9724C3D9D","C5D478D71A1F11EA345CE7B9724C3D9D","C5D478D71A1F11EA345CE7B9724C3D9D","C38B0","C38B0","C38B0","C3560","C3560","C3560","C3580","C3580","C3580","C3A60","C3A60","C3A60","C3AE0","C3AE0","C3AE0","C3B10","C3B10","C3B10","C3B20","C3B20","C3B20","C3BB0","C3BB0","C3BB0","C3BA0","C3BA0","C3BA0","C3BE0","C3BE0","C3BE0","C3C00","C3C00","C3C00","C3B80","C3B80","C3B80","C3B60","C3B60","C3B60","C3C20","C3C20","C3C20","C3C30","C3C30","C3C30","C3C90","C3C90","C3C90","C3D20","C3D20","C3D20","C3D50","C3D50","C3D50","C3D40","C3D40","C3D40","C3DC0","C3DC0","C3DC0","C3DD0","C3DD0","C3DD0","C3DE0","C3DE0","C3DE0","C3DA0","C3DA0","C3DA0","C3D60","C3D60","C3D60","C3E40","C3E40","C3E40","C3EC0","C3EC0","C3EC0","C3ED0","C3ED0","C3ED0","C3F20","C3F20","C3F20","C3F40","C3F40","C3F40"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001317,0.003860,-0.001933,-0.999990,0.025798,0.221217,2.343446,0.001657,-0.061259,0.221309,2.206323,0.459524,0.121062,0.220876,2.430004,0.559816,0.114672,0.221464,2.249228,0.738052,-0.071283,0.221220,2.488230,0.000000,0.109082,0.985618,-0.071784,0.107267,0.390546,1.761362,2.284235,0.001863,0.405056,1.806553,2.364232,0.367717,0.328707,1.784687,2.351897,0.578901,0.459352,1.718942,2.224218,0.000000,0.369071,1.735267,2.196594,0.630766,0.464273,1.738155,2.207007,0.559263,0.194161,0.617768,-0.000329,-0.762013,1.069153,1.707155,2.748370,0.000658,1.084140,1.715669,2.857640,0.000000,1.021498,1.694608,2.668633,0.000000,1.101820,1.711187,2.718836,0.000000,0.872581,1.789529,2.826856,0.821945,0.944566,1.792624,2.915956,0.807422,0.937071,1.699303,2.735282,0.877198,-0.061881,0.221301,2.208353,0.406376,1.805004,2.361921,0.119654,0.220877,2.428962,0.327171,1.785317,2.352984,,,,0.116128,0.221468,2.248754,,,,0.369487,1.735340,2.197311,0.872085,1.789574,2.826364,,,,0.464525,1.738438,2.206594,0.945011,1.792362,2.915989,,,,0.937126,1.699502,2.735712,-0.056846,0.222531,2.498663,2.125112,0.813535,0.056316,2.282566,0.816649,0.364006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.016667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001871,0.003478,-0.001900,-0.999990,0.025781,0.221322,2.343491,0.001606,-0.061381,0.221268,2.206434,0.486091,0.121111,0.221070,2.429976,0.606844,0.114583,0.221458,2.249204,0.719678,-0.071190,0.221493,2.488348,0.000000,0.109289,0.985475,-0.070085,0.109469,0.391143,1.761961,2.285527,0.002203,0.405259,1.806923,2.365722,0.335947,0.328975,1.785075,2.352960,0.544853,0.460244,1.719731,2.225716,0.000000,0.370092,1.736115,2.197709,0.535246,0.465243,1.738994,2.208584,0.492674,0.194881,0.616323,-0.000231,-0.762999,1.068619,1.706918,2.747250,0.000334,1.083989,1.715473,2.856463,0.000000,1.020675,1.694400,2.667682,0.000000,1.101193,1.710880,2.717603,0.000000,0.872446,1.789653,2.826350,0.849915,0.944737,1.792685,2.915205,0.858613,0.936482,1.699270,2.734613,0.942001,-0.061916,0.221263,2.208358,0.407372,1.805119,2.362638,0.119701,0.221070,2.428954,0.327855,1.785513,2.353981,,,,0.115983,0.221461,2.248748,,,,0.370775,1.736219,2.198222,0.872074,1.789724,2.826052,,,,0.464967,1.739138,2.208086,0.945043,1.792545,2.915301,,,,0.936545,1.699333,2.734801,-0.056450,0.222036,2.498077,2.125112,0.813535,0.056316,2.282566,0.816649,0.364006,2.160660,0.814154,-0.004403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001825,0.002794,-0.001627,-0.999993,0.025778,0.221229,2.344169,0.001990,-0.061571,0.221235,2.207231,0.455439,0.121226,0.220916,2.430524,0.512007,0.114451,0.221324,2.249761,0.702163,-0.070994,0.221439,2.489159,0.000000,0.110492,0.985703,-0.067940,0.107546,0.392340,1.762468,2.285971,0.001910,0.406808,1.807003,2.366342,0.231889,0.330437,1.785380,2.353717,0.601666,0.461159,1.720389,2.225731,0.000000,0.370954,1.737102,2.198095,0.655220,0.466144,1.739726,2.208679,0.538604,0.195268,0.616511,0.001145,-0.762747,1.068486,1.706715,2.746564,0.000239,1.083753,1.715122,2.855804,0.000000,1.020601,1.694398,2.666930,0.000000,1.101103,1.710626,2.716959,0.000000,0.872431,1.789862,2.825526,0.881251,0.944628,1.792624,2.914466,0.899194,0.936344,1.699411,2.733770,0.956539,-0.061820,0.221232,2.208416,0.408260,1.805935,2.364034,0.119675,0.220918,2.428888,0.328504,1.785727,2.354632,,,,0.115616,0.221325,2.249878,,,,0.371138,1.737404,2.199166,0.872103,1.789980,2.825361,,,,0.466811,1.739710,2.207992,0.944862,1.792490,2.914491,,,,0.936438,1.699425,2.733904,-0.056990,0.222399,2.498420,2.125112,0.813535,0.056316,2.282566,0.816649,0.364006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001279,0.003792,-0.001790,-0.999990,0.025735,0.221251,2.343447,0.001659,-0.061341,0.221378,2.206336,0.463266,0.121010,0.220875,2.429992,0.511687,0.114596,0.221479,2.249217,0.697704,-0.071326,0.221270,2.488244,0.000000,0.110073,0.985733,-0.067840,0.107760,0.393356,1.763203,2.286890,0.001737,0.407755,1.807746,2.367269,0.330845,0.331408,1.786056,2.354614,0.625590,0.462236,1.721189,2.226673,0.000000,0.372026,1.737823,2.199004,0.663589,0.467210,1.740532,2.209624,0.547901,0.195637,0.616973,-0.001365,-0.762279,1.068438,1.707077,2.746208,0.000461,1.083642,1.715958,2.855419,0.000000,1.020622,1.694284,2.666608,0.000000,1.101050,1.710990,2.716597,0.000000,0.872064,1.789829,2.824792,0.918691,0.944224,1.793189,2.913742,0.930189,0.936327,1.699254,2.733403,0.984575,-0.062016,0.221371,2.208348,0.409481,1.806547,2.364835,0.119654,0.220877,2.428962,0.330118,1.786334,2.355283,,,,0.116089,0.221483,2.248755,,,,0.372010,1.738021,2.199798,0.871527,1.789915,2.824332,,,,0.467674,1.740678,2.209338,0.944675,1.793021,2.913952,,,,0.936399,1.699327,2.733619,-0.056990,0.222399,2.498420,2.126495,0.812590,0.055197,2.282566,0.816649,0.364006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.066667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002250,0.002907,-0.000163,-0.999993,0.025581,0.221392,2.344017,0.001901,-0.061736,0.221539,2.207058,0.467531,0.121008,0.220872,2.430394,0.561364,0.114276,0.221148,2.249629,0.729890,-0.071224,0.222008,2.488984,0.000000,0.112852,0.985389,-0.066858,0.108641,0.395161,1.763974,2.287340,0.001974,0.409599,1.808257,2.367856,0.311540,0.333170,1.786995,2.354968,0.674323,0.463966,1.721738,2.227193,0.000000,0.373911,1.738907,2.199345,0.694057,0.469082,1.741094,2.210200,0.577668,0.194305,0.617069,-0.002311,-0.762539,1.068422,1.707456,2.745392,0.000574,1.083658,1.716279,2.854604,0.000000,1.020603,1.694590,2.665806,0.000000,1.101006,1.711499,2.715767,0.000000,0.871834,1.789519,2.824163,0.865954,0.944032,1.793018,2.913077,0.808787,0.936329,1.699233,2.732652,0.912431,-0.062152,0.221538,2.208334,0.411024,1.806801,2.365268,0.119654,0.220877,2.428962,0.331976,1.787458,2.356004,,,,0.115612,0.221145,2.249706,,,,0.374725,1.738971,2.199942,0.871035,1.789891,2.823931,,,,0.468826,1.741375,2.209905,0.944513,1.792730,2.913099,,,,0.936599,1.699167,2.732840,-0.056861,0.222200,2.498136,2.124999,0.813572,0.056384,2.282566,0.816649,0.364006,2.158841,0.814040,-0.003250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001831,0.002804,-0.001403,-0.999993,0.025758,0.221270,2.344159,0.001991,-0.061588,0.221314,2.207219,0.463268,0.121204,0.220915,2.430516,0.560585,0.114433,0.221325,2.249753,0.740927,-0.071017,0.221525,2.489147,0.000000,0.112755,0.985344,-0.065596,0.109909,0.397133,1.764283,2.287869,0.001744,0.411319,1.808399,2.368520,0.330216,0.334940,1.787118,2.355373,0.639681,0.466131,1.722220,2.227821,0.000000,0.376143,1.739394,2.199760,0.580627,0.471282,1.741616,2.210885,0.533330,0.194335,0.617053,-0.002185,-0.762545,1.068192,1.707356,2.744602,0.000539,1.083428,1.716162,2.853815,0.000000,1.020371,1.694510,2.665013,0.000000,1.100777,1.711394,2.714978,0.000000,0.871622,1.789456,2.823379,0.836532,0.943820,1.792928,2.912295,0.897590,0.936098,1.699165,2.731859,0.914516,-0.061856,0.221311,2.208404,0.412972,1.807371,2.366184,0.119675,0.220918,2.428888,0.333579,1.787386,2.356133,,,,0.115616,0.221325,2.249878,,,,0.376519,1.739614,2.200590,0.870993,1.789894,2.823463,,,,0.471353,1.741682,2.210495,0.944085,1.792530,2.911870,,,,0.936511,1.699104,2.732221,-0.056801,0.222432,2.498440,2.125112,0.813535,0.056316,2.282566,0.816649,0.364006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
